section_cn,title_cn,others,section,index,title,src,authur,demo_src
"游戏测试","自动 AI 测试：简单的测试能节省你的时间","","AI Testing","1","Automated AI Testing: Simple tests will save you time","http://www.gameaipro.com/GameAIProOnlineEdition2021/GameAIProOnlineEdition2021_Chapter01_Automated_AI_Testing_Simple_tests_will_save_you_time.pdf","Malte Skarupke",""
"架构","高效、基于事件的模拟","","Architecture","2","Efficient, Event-Based Simulations","http://www.gameaipro.com/GameAIProOnlineEdition2021/GameAIProOnlineEdition2021_Chapter02_Efficient_Event_Based_Simulations.pdf","Rez Graham",""
"群体 AI","武装战术类游戏：《战争机器：战术小队》中的同步 AI 行为","","Group AI","3","Gearing the Tactics Genre: Simultaneous AI Actions in Gears Tactics","http://www.gameaipro.com/GameAIProOnlineEdition2021/GameAIProOnlineEdition2021_Chapter03_Gearing_the_Tactics_Genre_Simultaneous_AI_Actions_in_Gears_Tactics.pdf","Matthias Siemonsmeier",""
"知识表示","知识就是力量：游戏中的 AI 知识表示综述","","Knowledge Representation","4","Knowledge is Power, an Overview of AI Knowledge Representation in Games","http://www.gameaipro.com/GameAIProOnlineEdition2021/GameAIProOnlineEdition2021_Chapter04_Knowledge_is_Power_an_Overview_of_AI_Knowledge_Representation_in_Games.pdf","Daniel Brewer",""
"搜索与查询","控制空间查询：自然位置选择的技巧","","Applied Search","5","Taming Spatial Queries -- Tips for Natural Position Selection","http://www.gameaipro.com/GameAIProOnlineEdition2021/GameAIProOnlineEdition2021_Chapter05_Taming_Spatial_Queries_Tips_for_Natural_Position_Selection.pdf","Eric Johnson",""
"战术","《羞辱 2》中通过影响力地图泛洪实现追逐行为","","Tactics","6","Flooding the Influence Map for Chase in Dishonored 2","http://www.gameaipro.com/GameAIProOnlineEdition2021/GameAIProOnlineEdition2021_Chapter06_Flooding_the_Influence_Map_for_Chase_in_Dishonored_2.pdf","Laurent Couvidou",""
"AI 导演","在《星际战甲》的程序化关卡中管理节奏","","AI Director","7","Managing Pacing in Procedural Levels in Warframe","http://www.gameaipro.com/GameAIProOnlineEdition2021/GameAIProOnlineEdition2021_Chapter07_Managing_Pacing_in_Procedural_Levels_in_Warframe.pdf","Daniel Brewer",""
"协调","《看门狗 2》中的电影化游戏体验：姿态匹配与 AI 协调","","Coordination","8","Cinematic Gameplay in Watchdogs 2: Pose Matching and AI Coordination","http://www.gameaipro.com/GameAIProOnlineEdition2021/GameAIProOnlineEdition2021_Chapter08_Cinematic_Gameplay_in_Watchdogs_2_Pose_Matching_and_AI_Coordination.pdf","Christopher Dragert",""
"避障","《地平线：零之曙光》中针对多种尺寸与形状机器人的避障","","Movement and Pathfinding","9","Obstacle avoidance for robots of multiple sizes and forms in Horizon Zero Dawn","http://www.gameaipro.com/GameAIProOnlineEdition2021/GameAIProOnlineEdition2021_Chapter09_Obstacle_avoidance_for_robots_of_multiple_sizes_and_forms_in_Horizon_Zero_Dawn.pdf","Carles Ros Martínez",""
"游戏测试","上线前游戏调优的 AI 驱动自动播放智能体","","AI Testing","10","AI-Driven Autoplay Agents for Prelaunch Game Tuning","http://www.gameaipro.com/GameAIProOnlineEdition2021/GameAIProOnlineEdition2021_Chapter10_AI-Driven_Autoplay_Agents_for_Prelaunch_Game_Tuning.pdf","Igor Borovikov",""
"通用","当你对我发出“啊啊啊”时：论游戏 AI 中反应的重要性","","General Wisdom","11","You had me at 'AAAAHHH' - On the importance of reactions in game AI","http://www.gameaipro.com/GameAIProOnlineEdition2021/GameAIProOnlineEdition2021_Chapter11_You_had_me_at_AAAAHHH_On_the_importance_of_reactions_in_game_AI.pdf","Sergio Ocio Barriales",""
"群体 AI","《往日不再》中的小队协调","","Group AI","12","Squad Coordination in Days Gone","http://www.gameaipro.com/GameAIProOnlineEdition2021/GameAIProOnlineEdition2021_Chapter12_Squad_Coordination_in_Days_Gone.pdf","Tobias Karlsson",""
"架构","数据驱动行为树的模板技巧","","Architecture","13","Template Tricks for Data-Driven Behavior Trees","http://www.gameaipro.com/GameAIProOnlineEdition2021/GameAIProOnlineEdition2021_Chapter13_Template_Tricks_for_Data-Driven_Behavior_Trees.pdf","Anthony Francis",""
"寻路","在玩家可修改地图上规划移动","","Movement and Pathfinding","14","Planning Movement on Player-Modifiable Maps","http://www.gameaipro.com/GameAIProOnlineEdition2021/GameAIProOnlineEdition2021_Chapter14_Planning_Movement_on_Player-Modifiable_Maps.pdf","Jurie Horneman",""
"架构","游戏引擎中应该使用 STL 容器吗？","","Architecture","15","Should STL containers be used in game engines?","http://www.gameaipro.com/GameAIProOnlineEdition2021/GameAIProOnlineEdition2021_Chapter15_Should_STL_containers_be_used_in_game_engines.pdf","Jiri Holba",""
"角色行为","《黑手党 3》中的开放世界敌人 AI","","Character Behavior","16","Open-world Enemy AI in Mafia III","http://www.gameaipro.com/GameAIProOnlineEdition2021/GameAIProOnlineEdition2021_Chapter16_Open-world_Enemy_AI_in_Mafia_III.pdf","Jiri Holba and Gael Huber",""
"分析与平衡","使用遗传算法生成玩家智能体进行游戏平衡","","Applied Search","17","Game Balancing using Genetic Algorithms to Generate Player Agents","http://www.gameaipro.com/GameAIProOnlineEdition2021/GameAIProOnlineEdition2021_Chapter17_Game_Balancing_using_Genetic_Algorithms_to_Generate_Player_Agents.pdf","Kazuko Manabe and Youichiro Miyake",""
